              3D.DAT Grid Points
      X           Y        Longitude    Latitude
    (km)        (km)        (deg E)     (deg N)
     -49.073      71.864     -77.732      20.137
     -39.948      71.616     -77.645      20.136
     -30.834      71.372     -77.558      20.134
     -21.720      71.122     -77.470      20.133
     -12.606      70.866     -77.383      20.131
      -3.491      70.614     -77.296      20.130
       5.624      70.357     -77.209      20.128
      14.739      70.104     -77.122      20.126
      23.854      69.845     -77.034      20.125
      32.970      69.591     -76.947      20.123
      42.085      69.330     -76.860      20.121
      51.202      69.075     -76.773      20.119
      60.307      68.813     -76.686      20.117
      69.423      68.556     -76.599      20.115
      78.540      68.293     -76.511      20.113
      87.656      68.023     -76.424      20.111
      96.774      67.759     -76.337      20.108
     105.880      67.499     -76.250      20.106
     114.998      67.233     -76.163      20.104
     124.116      66.960     -76.075      20.101
     133.224      66.693     -75.988      20.099
     142.342      66.419     -75.901      20.097
     151.450      66.151     -75.814      20.094
     160.569      65.887     -75.727      20.092
     169.678      65.605     -75.640      20.089
     178.798      65.340     -75.552      20.086
     187.907      65.057     -75.465      20.083
     197.016      64.790     -75.378      20.081
     206.138      64.506     -75.291      20.078
     215.248      64.227     -75.204      20.075
     224.359      63.953     -75.117      20.072
     233.480      63.672     -75.030      20.069
     242.592      63.396     -74.943      20.066
     251.704      63.114     -74.855      20.063
     260.816      62.825     -74.768      20.060
     269.929      62.542     -74.681      20.057
     279.042      62.263     -74.594      20.053
     288.155      61.978     -74.507      20.050
     297.269      61.687     -74.420      20.047
     306.383      61.401     -74.333      20.043
     315.499      61.108     -74.246      20.040
     324.603      60.821     -74.159      20.036
     333.718      60.526     -74.072      20.033
     342.835      60.237     -73.985      20.029
     351.940      59.942     -73.898      20.025
     -76.168      81.669     -77.992      20.223
     -67.049      81.428     -77.905      20.222
     -57.940      81.181     -77.818      20.221
     -48.820      80.928     -77.731      20.219
     -39.701      80.679     -77.643      20.218
     -30.581      80.435     -77.556      20.216
     -21.472      80.175     -77.469      20.215
     -12.352      79.929     -77.382      20.213
      -3.241      79.678     -77.294      20.212
       5.879      79.421     -77.207      20.210
      14.989      79.168     -77.120      20.208
